data_id,hive_id,video_id,timestamp,approaches_count,departures_count,no_movement_count,number_of_detected_bees
89975,2,4,2022-01-01 00:00:00.0,4,1,5,13
89976,2,4,2022-01-01 00:00:00.0,4,1,5,11
89977,2,4,2022-01-01 00:00:00.0,4,1,6,12
89978,2,4,2022-01-01 00:00:00.0,4,1,6,12
89979,2,4,2022-01-01 00:00:00.0,4,1,6,11
89980,2,4,2022-01-01 00:00:00.0,4,1,6,13
89981,2,4,2022-01-01 00:00:00.0,4,2,6,11
89982,2,4,2022-01-01 00:00:00.0,4,2,6,13
89983,2,4,2022-01-01 00:00:00.0,4,2,6,11
89984,2,4,2022-01-01 00:00:00.0,4,2,6,12
89985,2,4,2022-01-01 00:00:00.0,4,2,6,14
89986,2,4,2022-01-01 00:00:00.0,4,2,6,14
89987,2,4,2022-01-01 00:00:00.0,4,2,6,14
89988,2,4,2022-01-01 00:00:00.0,4,2,6,12
89989,2,4,2022-01-01 00:00:00.0,4,2,6,13
89990,2,4,2022-01-01 00:00:00.0,4,2,6,14
89991,2,4,2022-01-01 00:00:00.0,5,2,6,13
89992,2,4,2022-01-01 00:00:00.0,5,2,6,13
89993,2,4,2022-01-01 00:00:00.0,5,2,6,13
89994,2,4,2022-01-01 00:00:00.0,5,2,6,13
89995,2,4,2022-01-01 00:00:00.0,5,2,6,14
89996,2,4,2022-01-01 00:00:00.0,5,2,6,13
89997,2,4,2022-01-01 00:00:00.0,5,2,6,11
89998,2,4,2022-01-01 00:00:00.0,5,2,6,12
89999,2,4,2022-01-01 00:00:00.0,5,2,6,12
90000,2,4,2022-01-01 00:00:00.0,5,2,6,15
90001,2,4,2022-01-01 00:00:00.0,5,2,6,12
90002,2,4,2022-01-01 00:00:00.0,5,3,6,13
90003,2,4,2022-01-01 00:00:00.0,5,3,6,13
90004,2,4,2022-01-01 00:00:00.0,5,3,6,14
90005,2,4,2022-01-01 00:00:00.0,5,3,6,13
90006,2,4,2022-01-01 00:00:00.0,6,3,6,12
90007,2,4,2022-01-01 00:00:00.0,6,3,6,11
90008,2,4,2022-01-01 00:00:00.0,6,3,7,15
90009,2,4,2022-01-01 00:00:00.0,6,3,7,12
90010,2,4,2022-01-01 00:00:00.0,6,3,7,13
90011,2,4,2022-01-01 00:00:00.0,6,3,7,11
90012,2,4,2022-01-01 00:00:00.0,5,3,7,13
90013,2,4,2022-01-01 00:00:00.0,5,3,7,13
